names	scores	logfoldchanges	pvals	pvals_adj
CCDC85B	23.293047	2.1502433	5.2143842908714514e-120	1.3785894647663512e-117
SLC2A3	23.283232	3.8522382	6.556052813472201e-120	1.7140435855666767e-117
GIMAP1	23.231134	6.381887	2.207171348234628e-119	5.707114486149538e-117
MTUS1	23.181103	3.3411307	7.063109358098883e-119	1.8064669912615947e-116
HLA-DPB1	23.10789	3.094427	3.8572753390249405e-118	9.759321368522242e-116
PALMD	23.0783	5.4071016	7.648349377644202e-118	1.9145283069783838e-115
CA4	22.92585	8.54131	2.566693583205737e-116	6.357294738192736e-114
NFIB	22.903627	2.8753932	4.2750406029591265e-116	1.047830264454461e-113
SLC3A2	22.901089	2.9624214	4.531567649875414e-116	1.0992555340367886e-113
LIFR	22.867512	4.04693	9.785803619676026e-116	2.3495914201120094e-113
C1orf115	22.862703	4.0693245	1.0925057335494545e-115	2.5966323141837038e-113
JUNB	22.783123	2.2374976	6.741156479208129e-115	1.5861941195576728e-112
IRF1	22.75515	2.4832406	1.2760599114401492e-114	2.9728405659590803e-112
FKBP1A	22.689844	1.8491699	5.643681413989307e-114	1.3019198399134157e-111
TPT1	22.46877	1.0264927	8.38852877708196e-112	1.8979046358147931e-109
NOTCH4	22.40985	5.1165876	3.1550817585715538e-111	7.070387978970348e-109
ICAM2	22.35833	6.104691	1.0019187781319793e-110	2.2240706461741013e-108
GPIHBP1	22.342548	8.425967	1.426689487279079e-110	3.137383517352965e-108
ACTN4	22.321869	3.4228268	2.2662090864356828e-110	4.9373981299844086e-108
ID2	22.30703	2.3415833	3.157845763249664e-110	6.816890899932531e-108
JUND	22.246223	1.7182212	1.2270149682552016e-109	2.624696563913172e-107
PSMB9	22.241161	3.2258806	1.3735376768167928e-109	2.9116523905855075e-107
HSPB1	22.223003	1.7146195	2.0583478119801855e-109	4.3243682157048005e-107
LY6E	22.201181	1.612415	3.345487461712057e-109	6.96631150213139e-107
CTNNAL1	22.154797	3.4656012	9.37847522094082e-109	1.9357501925327852e-106
AC011526.1	22.120764	5.592625	1.9951902533425312e-108	4.0823327531434577e-106
ETS1	22.108465	4.9870863	2.6202875101976388e-108	5.315117682323314e-106
ROBO4	22.0769	6.8281646	5.270072049299275e-108	1.0598700454701875e-105
SNHG7	22.038988	2.0042171	1.2183039754832244e-107	2.4293807239932432e-105
MT2A	22.003815	2.8869107	2.6475459234464888e-107	5.2350214772013345e-105
CTGF	21.920042	3.0101628	1.6730390676365107e-106	3.253438781941082e-104
RDX	21.8787	1.8627658	4.144910337546265e-106	7.994241003480624e-104
MT1E	21.77833	3.2997568	3.7240512404988515e-105	7.124140299913657e-103
ZFP36L2	21.738167	1.9217627	8.939858460345832e-105	1.6828389565754995e-102
LDB2	21.646793	3.30275	6.515813473332477e-104	1.216802309742168e-101
SERTAD1	21.476656	2.5990987	2.5738168327509876e-102	4.731399224580527e-100
SOX17	21.473082	4.9540234	2.7795781608695255e-102	5.070036753896119e-100
CALCRL	21.125242	6.223338	4.662351043335957e-99	8.438855388438082e-97
GIMAP6	21.068298	7.384773	1.554142910751091e-98	2.7495475706746747e-96
LCN6-1	20.84706	8.103349	1.620812031659039e-96	2.825015341106458e-94
CD320	20.811922	3.2107608	3.37538418584176e-96	5.839911021533574e-94
RPL3	20.73644	0.86879957	1.625174597186137e-95	2.7912670271379413e-93
LRRFIP1	20.719334	3.1427524	2.3187186219233244e-95	3.953583273467813e-93
TGFBR2	20.71108	4.4373827	2.7521749163027024e-95	4.658897538172848e-93
ETS2	20.693266	3.9518316	3.9829880970016675e-95	6.69426499446066e-93
BTG1	20.66475	1.5001968	7.192938056991906e-95	1.1919002287395743e-92
CYYR1	20.651217	7.492614	9.519189180754781e-95	1.5663393106514686e-92
VAMP5	20.613232	2.0469959	2.088172834786795e-94	3.412132416842589e-92
HSPA1A	20.557775	2.161602	6.557039720050834e-94	1.0640492731916974e-91
CALM1	20.536043	1.4857407	1.0258633403911747e-93	1.6533263287263248e-91
IFI16	20.522184	2.39674	1.3644122202465712e-93	2.183987723972913e-91
PODXL	20.46272	6.8137703	4.628230672341111e-93	7.306219786849919e-91
GIMAP5	20.422722	6.5873785	1.0504659462655287e-92	1.6369181268627742e-90
FOS	20.38889	2.0048118	2.0985509204745095e-92	3.2486120499187634e-90
EFNB2	20.307203	5.388075	1.1104943912257312e-91	1.7078387598393107e-89
CD300LG	20.180239	4.945741	1.4603676414673621e-90	2.231327961280976e-88
C2CD4B	20.131496	6.578997	3.910062060481619e-90	5.935726469879515e-88
FAM110D	20.101402	7.9236956	7.173849708988937e-90	1.0820556644391647e-87
TMEM204	19.88205	3.2364757	5.820761780906287e-88	8.613995264448109e-86
HLA-DMA	19.872906	3.4099905	6.984008765579955e-88	1.0270857890881021e-85
KANK3	19.850466	5.469949	1.0918243682615113e-87	1.585841196616874e-85
EMP1	19.826757	3.0556853	1.7496238053072378e-87	2.525683934900571e-85
TCF4	19.791365	2.0343635	3.5333846248233556e-87	5.038820619520822e-85
UBC	19.694822	0.7544239	2.3883194819638994e-86	3.385370928350033e-84
MMRN2	19.663984	5.560151	4.388701096752842e-86	6.183601006382896e-84
CAPN2	19.582443	2.434162	2.182942871911518e-85	3.0574193914332156e-83
PPP1R15A	19.487732	1.9066256	1.3952763312580556e-84	1.919932869853921e-82
MYCT1	19.480204	8.420317	1.6163277202877148e-84	2.2111739103703447e-82
GADD45B	19.353985	1.9910966	1.886778726840982e-83	2.52249451378229e-81
RPS4X	19.317831	1.2027849	3.803017450264629e-83	5.055649751679476e-81
GUK1	19.172037	1.3066	6.337831964616629e-82	8.331239448459737e-80
GIMAP8	19.120626	6.9866242	1.700511427424386e-81	2.2229463270719892e-79
TMEM173	19.042969	3.0071347	7.514578074868581e-81	9.768951497329155e-79
PDE2A	19.030378	6.88745	9.555936718727687e-81	1.2354461043497937e-78
RPL34	18.998852	0.99028707	1.7431905879534175e-80	2.229199702964343e-78
RPS14	18.87488	0.75260174	1.8354032415382537e-79	2.3344345012646005e-77
RPL11	18.801485	0.78677845	7.343247514728515e-79	9.190777341572444e-77
HLA-F	18.76945	3.5776482	1.3427229166735467e-78	1.6716545094882834e-76
LPAR6	18.64067	3.4057791	1.5034515337441928e-77	1.8619060310000452e-75
HLA-DRB5	18.538414	3.2396722	1.011625740278174e-76	1.2206950599356633e-74
SEC14L1	18.49203	2.8912885	2.3937818210814868e-76	2.8591718908653495e-74
GNAI2	18.490631	1.6614695	2.4566001746859782e-76	2.9193839449677306e-74
TSC22D3	18.452173	1.7361481	5.0088785794214987e-76	5.922558440893863e-74
IFITM1	18.366243	2.3435524	2.44778636137923e-75	2.865493188221557e-73
ARL4A	18.206282	2.067834	4.601539267836075e-74	5.360109850108062e-72
RPS27A	18.141521	0.7383829	1.498264102103383e-73	1.7281448197300297e-71
RPL27A	18.081114	0.9982016	4.489215091637813e-73	5.152742980792084e-71
CAV2	18.062666	1.9070497	6.272002013144207e-73	7.129478616873584e-71
HES1	18.025822	2.744953	1.2218229931124928e-72	1.3821872609585073e-70
KDR	17.98421	6.8902574	2.5906275683438943e-72	2.9166252001498484e-70
NPDC1	17.942377	1.766338	5.504950013210951e-72	6.16816541956446e-70
SYNE2	17.934975	2.748317	6.28915307279899e-72	7.013448900614228e-70
RPL26	17.81133	0.89917624	5.772081343655248e-71	6.406465755481509e-69
LMCD1	17.798832	2.895652	7.21578090097152e-71	7.971235896707035e-69
F8	17.765781	4.0799313	1.3011745552199007e-70	1.4306839852487973e-68
APOL3	17.717926	4.238198	3.049475134642524e-70	3.3374023217738876e-68
GMFG	17.682209	4.051454	5.749949400026685e-70	6.263718026973514e-68
TMEM88	17.66659	6.6900425	7.584619255060955e-70	8.224243828183607e-68
GPR116	17.636894	6.4869633	1.2832424011543e-69	1.378753136947976e-67
SOCS2	17.573475	2.1079097	3.9332460230821156e-69	4.187750177516841e-67
NES	17.393904	3.5708117	9.176532822770432e-68	9.554151208840188e-66
STOM	17.378248	2.2197351	1.2057957053164077e-67	1.249884270753087e-65
CDH5	17.306467	5.471701	4.204300943845428e-67	4.338912333714163e-65
FOSB	17.245607	1.4899476	1.207383693337099e-66	1.2405999259485566e-64
PSME1	17.038425	1.4328891	4.2604295561328405e-65	4.358604671991554e-63
CDC37	16.997955	1.5814438	8.503486097656833e-65	8.624440856804539e-63
LIMS1	16.987017	1.8860205	1.0247049622046562e-64	1.0348200755654748e-62
RPS9	16.974916	0.71543646	1.259324223382287e-64	1.2663204690677443e-62
LMNA	16.95665	1.3538446	1.718692388591246e-64	1.720886463980937e-62
MEF2C	16.949375	2.4983456	1.945094766593631e-64	1.9393254177096666e-62
MX1	16.916069	2.6739702	3.425403311787301e-64	3.400832908285029e-62
TSPO	16.90437	1.7110155	4.177715455266499e-64	4.1303212043033915e-62
RAB13	16.866638	1.9481218	7.917736708069154e-64	7.79516086781871e-62
IFIT3	16.862955	2.8749816	8.426880121307078e-64	8.261853718931482e-62
CRHBP	16.742123	6.12348	6.464197419631368e-63	6.259364826499016e-61
ARPC1B	16.67747	2.4388022	1.91144461930659e-62	1.8432906513231173e-60
PLK2	16.634787	2.714081	3.901484101577481e-62	3.7317854028503304e-60
HSPG2	16.577263	2.7261283	1.0175919689567624e-61	9.654814124819604e-60
ADAM15	16.511377	3.3449922	3.0386890856949385e-61	2.860014167456076e-59
UTRN	16.500021	3.2335489	3.667628840249881e-61	3.4382193868956055e-59
GPR146	16.490643	6.499884	4.283678351408121e-61	3.9997996670092495e-59
BTNL9	16.488739	4.501669	4.420864294405929e-61	4.11157853151666e-59
PTPRB	16.487486	7.691962	4.513389680966387e-61	4.181104692643271e-59
SNCG	16.484983	2.4196212	4.7042684138377844e-61	4.340840618729532e-59
CEBPD	16.432793	1.7801764	1.1140674998290986e-60	1.0200003218279647e-58
RASIP1	16.423088	3.290208	1.3073975627481138e-60	1.192366846955935e-58
SNHG8	16.399433	1.7712731	1.9303040475858803e-60	1.7536700478647013e-58
GNAS	16.258356	1.2765682	1.9489776201348938e-59	1.7570667970028374e-57
AFAP1L1	16.247599	3.900463	2.322858649667826e-59	2.0861398483467154e-57
FYN	16.178339	3.0032613	7.170281093874271e-59	6.415084187789414e-57
IER3	16.149332	2.5850506	1.1479699666968783e-58	1.0193106911840584e-56
RAB11A	16.147446	1.5627711	1.183618811250658e-58	1.0470131815311273e-56
CXCL2	16.071312	3.7582386	4.05420042010016e-58	3.5595274583939086e-56
JUN	15.993779	1.8716209	1.411987908493149e-57	1.2305213143275478e-55
FDPS	15.965626	1.842413	2.2180666872555732e-57	1.9187907776148393e-55
PPFIBP1	15.9539795	3.0468562	2.673074509196705e-57	2.3039356484028744e-55
WT1	15.893608	6.32447	7.016935334683743e-57	6.003945033640308e-55
CDA	15.892411	5.8257747	7.152267183700756e-57	6.0975669142202454e-55
SCARB1	15.862571	4.036563	1.1508567546619177e-56	9.705971124442624e-55
CCM2L	15.816022	6.860098	2.412614850460573e-56	2.02745812254776e-54
ICAM1	15.761819	3.9910903	5.696936424617054e-56	4.753507591178698e-54
CLIC1	15.73294	1.3393105	8.993685990335468e-56	7.477789093731221e-54
GRASP	15.691271	2.9368234	1.735448200051378e-55	1.4328103911301378e-53
MYH9	15.665766	2.0914328	2.5928683922820267e-55	2.1332235409229404e-53
RPS26	15.655027	0.73331994	3.069832920049429e-55	2.516835143162476e-53
ATOH8	15.639662	4.6540704	3.9079634817186e-55	3.1818124818283276e-53
IER5	15.511084	1.7311424	2.9191128792391437e-54	2.3603685927318576e-52
CCND3	15.495683	2.175539	3.710010695092789e-54	2.9896079334086754e-52
BTG2	15.476617	1.6964062	4.9903533166563585e-54	4.007611383649288e-52
MALAT1	15.454287	0.94887096	7.058931891759543e-54	5.64954651064973e-52
RPL10	15.447756	1.1994917	7.811649055498321e-54	6.23078312799578e-52
PDLIM1	15.41991	2.4156668	1.2027150476733324e-53	9.560771983700511e-52
KIF17	15.336682	4.35777	4.348585461218667e-53	3.445192454628796e-51
RPS3	15.332347	0.6969066	4.648824296094493e-53	3.670699184130988e-51
CD93	15.317109	3.8973296	5.8774125958429795e-53	4.625268173250344e-51
MT1M	15.243078	3.1255314	1.8303940256184302e-52	1.435639047426722e-50
FOXP1	15.195678	2.444224	3.7773703071726755e-52	2.9430967989328822e-50
DUSP6	15.184902	3.082939	4.452261401926976e-52	3.446108907478347e-50
RPL21	15.152413	0.6027057	7.30351081744048e-52	5.634479001127032e-50
IL11RA	15.07372	2.9184425	2.411432053186234e-51	1.854280921943532e-49
FAM69B	15.065104	2.7218142	2.7473465613109913e-51	2.1057024295650694e-49
FLT1	15.009213	3.4922874	6.390113761175078e-51	4.863584678170106e-49
ST6GALNAC1	15.007744	7.405079	6.533234008600036e-51	4.9429902322301874e-49
ITGA6	14.979953	3.66467	9.928735381124391e-51	7.487921266597978e-49
FLI1	14.910185	5.690984	2.8296648880833577e-50	2.1137147560825844e-48
MSN	14.889578	2.1979806	3.8519406937044634e-50	2.8591850007213256e-48
SORBS2	14.886875	4.2501016	4.010831401700179e-50	2.9677629837108556e-48
CDC42EP4	14.867846	3.8593938	5.330103086868035e-50	3.919291426062652e-48
IFI44L	14.804608	2.192763	1.367810060662621e-49	1.0026346020994229e-47
SLFN5	14.781824	4.7443533	1.9189720960667778e-49	1.3979384959892037e-47
NDRG1	14.77885	2.7833667	2.005635266445708e-49	1.4565616610946761e-47
SMTN	14.744383	2.4086146	3.3436322585777915e-49	2.4207897552103212e-47
FAM171A1	14.689036	4.280255	7.578364662741953e-49	5.45317799737976e-47
ARHGAP29	14.688783	1.8804598	7.606818587417816e-49	5.456964675668939e-47
TPD52L1	14.678823	2.7093332	8.810583418890471e-49	6.301307837279416e-47
FAM13C	14.671622	3.406617	9.797493830636349e-49	6.964804526733331e-47
HOXD9	14.643994	2.6234534	1.4716304558172958e-48	1.039863802563993e-46
TIE1	14.600348	6.057451	2.794134129336224e-48	1.9625664496501895e-46
EGLN1	14.509847	2.7913964	1.0495528941821246e-47	7.306502840267868e-46
STARD3	14.4256935	2.6752515	3.5666695481881983e-47	2.4539103645867924e-45
FRY	14.421067	4.166219	3.813965211265905e-47	2.6164023737926166e-45
LIMS2	14.368316	3.2127075	8.179648618092465e-47	5.5787574488033535e-45
SDCBP	14.338112	1.4113984	1.2644885781508308e-46	8.599253249678916e-45
CSRNP1	14.316108	3.2090476	1.7357607009459098e-46	1.1770158297768662e-44
TINAGL1	14.277161	3.898361	3.037269462100912e-46	2.0536480012423695e-44
CFLAR	14.223774	2.2798808	6.523809756419859e-46	4.3984310478097215e-44
MAP3K11	14.1992655	2.6512601	9.257705794116464e-46	6.223823352444582e-44
TPM3	14.160537	1.7248228	1.6076246808027322e-45	1.0715979812829543e-43
IFNGR1	14.05788	1.8468758	6.891980274925624e-45	4.568121010394364e-43
CTSZ	14.054887	2.3048031	7.189647944809658e-45	4.752034161274473e-43
CAPZA2	14.042062	1.4247663	8.616859809867523e-45	5.6794036786045605e-43
KLF4	14.028947	1.3616142	1.0368039319950428e-44	6.8145241675540104e-43
ARGLU1	13.988221	1.2674304	1.8395501309719319e-44	1.2056995705228289e-42
KCTD12	13.970952	2.0954068	2.3447194709315887e-44	1.5282894501667668e-42
CD151	13.954208	1.2991648	2.96576693745106e-44	1.927748509343189e-42
FAM107A	13.936358	4.436794	3.8088497346421354e-44	2.46893207317161e-42
ELK3	13.931207	3.0970469	4.093818055352144e-44	2.6463609572097785e-42
CBLN1	13.899805	3.741038	6.351374698488898e-44	4.094461552203939e-42
GNAQ	13.882916	2.3539271	8.040417228344563e-44	5.169153480408404e-42
RHOC	13.84377	1.1245307	1.3873518622465905e-43	8.894928969662744e-42
RPL32	13.826628	0.5996608	1.7608463830005578e-43	1.1228378155014397e-41
JAM2	13.820696	2.9587927	1.91213364184202e-43	1.21601363763629e-41
SPARC	13.782873	1.3602324	3.23151510397797e-43	2.0495296602857583e-41
IRF9	13.757875	2.4005127	4.5675220162077024e-43	2.873630829983081e-41
RPL36	13.741839	0.6570473	5.700867910623729e-43	3.577104584986036e-41
ITGA1	13.73783	5.1705685	6.025439083951013e-43	3.7707069586533864e-41
SYPL1	13.731028	1.3718699	6.618777306757132e-43	4.1310299742173824e-41
CXorf36	13.708316	7.6409855	9.053449121957201e-43	5.635652323800343e-41
C4orf32	13.695147	3.0076842	1.0854145704331786e-42	6.738734786884615e-41
SELE	13.665505	7.481553	1.6316775337445363e-42	1.0103519044476037e-40
NQO1	13.6058235	2.522852	3.697802861164233e-42	2.283708696146835e-40
FLOT1	13.595846	1.7695934	4.238301584628842e-42	2.6106606357674518e-40
LUZP1	13.480455	1.8095917	2.0384418719580073e-41	1.2330215230635454e-39
HLA-DQB1	13.381663	2.159894	7.739567841705764e-41	4.657596708832139e-39
ISG15	13.304821	1.9513959	2.170122549955402e-40	1.296014812194178e-38
MGLL	13.277701	1.7036994	3.1182056470236386e-40	1.852812597840056e-38
C10orf128	13.257747	6.0569577	4.069393499886305e-40	2.4119100516958375e-38
OSBPL1A	13.246808	2.1047416	4.708040576172284e-40	2.7834219788274836e-38
STAT3	13.171036	1.4102802	1.2881762026855087e-39	7.596688232879705e-38
RPL7	13.132342	0.8351961	2.1490348500475696e-39	1.2610172075216786e-37
HEG1	13.130528	3.9305034	2.2011418989972977e-39	1.288379822970309e-37
LDHA	13.110157	0.9899278	2.8800094365330103e-39	1.6815538968144351e-37
TSPAN15	13.108978	2.8968444	2.9251339190107128e-39	1.7036732949089624e-37
PLA2G16	13.107364	2.5235627	2.988062046126106e-39	1.7360271591443772e-37
NECAP2	13.0977125	1.9528205	3.393294506239949e-39	1.966606397335616e-37
HPCAL1	13.0299225	2.6553926	8.269157755457221e-39	4.768952989850697e-37
GBP4	13.015229	4.825114	1.00241520104316e-38	5.766951022138277e-37
CCDC69	13.013941	4.671345	1.0194593323273858e-38	5.85070197308863e-37
ADCY4	12.96342	7.4014206	1.9725276294038237e-38	1.1238153782051324e-36
ASS1	12.935122	2.4115858	2.851730521157202e-38	1.6208023952374145e-36
EXOC3L2	12.917779	3.8450763	3.5730674140533274e-38	2.0210162560739132e-36
RPL31	12.893235	0.7390362	4.91383656935977e-38	2.7727236085619994e-36
RPL15	12.855485	0.46502	8.012157858410266e-38	4.488716057342703e-36
NRP2	12.699369	4.132459	5.960796104117888e-37	3.300177231291621e-35
EDN1	12.680957	8.072838	7.540543123342656e-37	4.1649995232923166e-35
HDAC7	12.674572	2.581467	8.18042675950031e-37	4.5078557763710134e-35
VWA1	12.641139	1.6074592	1.2522647693759419e-36	6.868482522940772e-35
ARHGAP18	12.590238	4.3294206	2.38953776364957e-36	1.3075772925273112e-34
RPS3A	12.585013	0.59702814	2.553009505591009e-36	1.3937891801985253e-34
XAF1	12.568578	2.6222985	3.143273994030438e-36	1.712065673137412e-34
BST2	12.554138	1.1988075	3.7726683893086504e-36	2.045412147475404e-34
TAPBP	12.53012	2.0157778	5.1085117490275694e-36	2.7632938265429586e-34
PVRL2	12.507281	2.136223	6.811554513285843e-36	3.6760522407710065e-34
CCNL1	12.492534	1.1493063	8.200009040565529e-36	4.415245142437228e-34
ARL6IP1	12.491373	1.4358296	8.320563302306688e-36	4.4699281850063095e-34
FAM198B	12.473922	2.7541652	1.0359926601171803e-35	5.552826262541515e-34
RPS2	12.454874	0.65271515	1.3155867413651168e-35	7.035399096436636e-34
RPL28	12.452334	0.529091	1.3581342399539883e-35	7.246462282566291e-34
APOA1	12.4499035	3.6487277	1.4001381145985814e-35	7.45367643359833e-34
FAM43A	12.425034	2.0277166	1.9114652312900009e-35	1.012990470546255e-33
RPL39	12.381442	0.945436	3.2937025124912145e-35	1.741591463346478e-33
RPS25	12.371792	0.5395437	3.714427744906982e-35	1.9552681171736307e-33
PRKCH	12.3369255	4.5914083	5.730222369920257e-35	3.0096458117014206e-33
RPS23	12.335493	0.54436475	5.833095802943235e-35	3.056853992054662e-33
SPNS2	12.29787	6.4869485	9.299442001357881e-35	4.862574895376688e-33
HSD17B11	12.284663	1.6848633	1.0949956024186307e-34	5.7129149722639426e-33
CX3CL1	12.2789135	3.4032404	1.1756706593586606e-34	6.1067396500462e-33
SP100	12.27046	1.9172614	1.3051021503949869e-34	6.749242549185503e-33
ENTPD1	12.2482195	3.8106406	1.7172432409150056e-34	8.861125758493439e-33
HSPA1B	12.234034	1.3607746	2.0452366032863586e-34	1.0530507062435016e-32
HIF3A	12.197971	2.2248065	3.1866574506112066e-34	1.6335958564897974e-32
PKP4	12.161818	3.4418995	4.96418900487464e-34	2.528297993175331e-32
MIR24-2	12.104965	2.3537807	9.941110732535982e-34	5.030415817990789e-32
PRCP	12.065982	1.9892423	1.5974543574441872e-33	8.06611610100037e-32
FAM101B	12.054735	2.3585317	1.83120524417774e-33	9.22660800760219e-32
SWAP70	12.025311	2.317843	2.6160000470647642e-33	1.312462283740595e-31
TPD52	11.984133	2.8859458	4.303236823610642e-33	2.154365158714009e-31
CFL1	11.961839	0.6713845	5.63014761869983e-33	2.812683088492718e-31
CTNNB1	11.935426	1.9918336	7.736173720475934e-33	3.8566137212457355e-31
RPL30	11.901612	0.527764	1.1608217829043769e-32	5.750344537208419e-31
SHROOM4	11.842366	5.964823	2.357075405177038e-32	1.1651677370549516e-30
CRIM1	11.823228	2.7611504	2.9608406623431763e-32	1.4575016900614002e-30
ERG	11.818403	5.5769644	3.135896466985592e-32	1.5404518552854068e-30
